Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
gi|10313991|ref|NC_002549.1|_0/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_1/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_2/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_3/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_4/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_5/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_6/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_7/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_8/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_9/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_10/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_11/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_12/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_13/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_14/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_15/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_16/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_17/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_18/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_19/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_20/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_21/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_22/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_23/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_24/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_25/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_26/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_27/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_28/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_29/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_30/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_31/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_32/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_33/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_34/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_35/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_36/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_37/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_38/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_39/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_40/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_41/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_42/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_43/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_44/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_45/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_46/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_47/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_48/1,301,0.00363636,3052462,1,NA,0,1
